,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
137,25,ARSON                                 ,34.0,24.0,27.0,13.0,21.0,26.0,13.0,21.0,15.0,19.0,18.0,7.0,17.0,10.0,10.0,12.0
138,25,FELONY SEX CRIMES (3),20.0,25.0,16.0,25.0,16.0,22.0,21.0,14.0,10.0,15.0,16.0,17.0,19.0,23.0,21.0,28.0
139,25,FELONY DANGEROUS DRUGS  (1),977.0,749.0,836.0,982.0,799.0,698.0,715.0,790.0,759.0,635.0,734.0,708.0,715.0,875.0,733.0,545.0
140,25,FELONY DANGEROUS WEAPONS (2)        ,36.0,27.0,29.0,42.0,59.0,67.0,87.0,154.0,214.0,173.0,184.0,137.0,78.0,77.0,75.0,104.0
141,25,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,47.0,159.0,168.0,63.0,50.0,44.0,69.0,45.0,67.0,79.0,34.0,36.0,46.0,54.0,89.0,133.0
142,25,OTHER FELONIES (4),171.0,176.0,137.0,141.0,177.0,191.0,148.0,163.0,156.0,165.0,150.0,149.0,159.0,164.0,151.0,172.0
143,25,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1464.0,1326.0,1370.0,1391.0,1389.0,1313.0,1290.0,1462.0,1453.0,1248.0,1312.0,1166.0,1135.0,1331.0,1221.0,1180.0
144,26,FELONY POSSESSION STOLEN PROPERTY            ,32.0,28.0,32.0,20.0,11.0,19.0,23.0,5.0,8.0,9.0,10.0,3.0,5.0,9.0,8.0,8.0
145,26,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,45.0,56.0,60.0,71.0,104.0,121.0,131.0,105.0,128.0,91.0,65.0,54.0,56.0,67.0,93.0,75.0
146,26,ARSON                                 ,29.0,11.0,8.0,7.0,7.0,13.0,10.0,9.0,8.0,5.0,16.0,13.0,10.0,13.0,13.0,14.0
147,26,FELONY SEX CRIMES (3),16.0,5.0,12.0,13.0,15.0,8.0,7.0,6.0,3.0,3.0,1.0,13.0,8.0,8.0,13.0,11.0
148,26,FELONY DANGEROUS DRUGS  (1),277.0,195.0,208.0,229.0,227.0,197.0,93.0,83.0,146.0,138.0,164.0,99.0,113.0,124.0,49.0,86.0
149,26,FELONY DANGEROUS WEAPONS (2)        ,42.0,27.0,39.0,25.0,46.0,34.0,40.0,31.0,39.0,32.0,27.0,24.0,33.0,36.0,21.0,33.0
150,26,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,60.0,63.0,56.0,46.0,37.0,25.0,39.0,23.0,17.0,24.0,20.0,14.0,19.0,16.0,25.0,21.0
151,26,OTHER FELONIES (4),184.0,167.0,153.0,131.0,112.0,109.0,90.0,102.0,97.0,77.0,76.0,63.0,75.0,69.0,67.0,58.0
